0:0:0:0:0:0:0:1 - - [10/Jul/2024:17:18:10 -0400] "GET /alexandre_pizzaria/pedido.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:17:18:10 -0400] "GET /alexandre_pizzaria/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Jul/2024:17:18:10 -0400] "GET /alexandre_pizzaria/script.js HTTP/1.1" 404 783
127.0.0.1 - - [10/Jul/2024:17:18:58 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:18:58 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:18:58 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/list HTTP/1.1" 200 330
127.0.0.1 - - [10/Jul/2024:17:18:58 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:18:58 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:18:58 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/list HTTP/1.1" 200 330
127.0.0.1 - - [10/Jul/2024:17:18:58 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:58 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:18:59 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:59 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:18:59 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:59 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [10/Jul/2024:17:18:59 -0400] "GET /manager/text/list HTTP/1.1" 200 330
127.0.0.1 - - [10/Jul/2024:17:18:59 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:18:59 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:19:03 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:19:03 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:19:03 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:19:03 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [10/Jul/2024:17:19:03 -0400] "GET /manager/text/list HTTP/1.1" 200 330
127.0.0.1 - - [10/Jul/2024:17:19:03 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:19:03 -0400] "GET /manager/text/ HTTP/1.1" 200 39
